Ticker,Reason
BOME-EUR,No clear directional entry/exit
AIOZ-EUR,No clear directional entry/exit
AMP-EUR,No clear directional entry/exit
AVA-EUR,No clear directional entry/exit
EUROP-EUR,No clear directional entry/exit
MOODENG-EUR,No clear directional entry/exit
LUNA-EUR,No clear directional entry/exit
HIFI-EUR,No clear directional entry/exit
PEPE-EUR,No clear directional entry/exit
ORCA-EUR,No clear directional entry/exit
FLOKI-EUR,No clear directional entry/exit
KERNEL-EUR,No clear directional entry/exit
PROMPT-EUR,Insufficient data
NEAR-USDC,No clear directional entry/exit
FET-EUR,No clear directional entry/exit
TIA-USDC,No clear directional entry/exit
AGI-EUR,No clear directional entry/exit
ETH-USDC,No clear directional entry/exit
NOS-EUR,No clear directional entry/exit
VTHO-EUR,No clear directional entry/exit
POL-EUR,No clear directional entry/exit
COS-EUR,No clear directional entry/exit
TOKEN-EUR,No clear directional entry/exit
WIN-EUR,No clear directional entry/exit
AXL-EUR,No clear directional entry/exit
CVC-EUR,No clear directional entry/exit
LMWR-EUR,No clear directional entry/exit
FORM-EUR,No clear directional entry/exit
LTC-EUR,No clear directional entry/exit
NOT-EUR,No clear directional entry/exit
SHIB-EUR,No clear directional entry/exit
XDC-EUR,No clear directional entry/exit
THETA-EUR,No clear directional entry/exit
RSR-EUR,No clear directional entry/exit
COW-EUR,No clear directional entry/exit
ATOM-EUR,No clear directional entry/exit
PEAQ-EUR,No clear directional entry/exit
PORTAL-EUR,No clear directional entry/exit
JTO-EUR,No clear directional entry/exit
LRC-EUR,No clear directional entry/exit
ACH-EUR,No clear directional entry/exit
YGG-EUR,No clear directional entry/exit
DODO-EUR,No clear directional entry/exit
NIL-EUR,No clear directional entry/exit
EOS-EUR,No clear directional entry/exit
DNT-EUR,No clear directional entry/exit
PUFFER-EUR,No clear directional entry/exit
SUI-USDC,No clear directional entry/exit
F-EUR,No clear directional entry/exit
AXS-EUR,No clear directional entry/exit
STX-EUR,No clear directional entry/exit
MERL-EUR,No clear directional entry/exit
BETA-EUR,Insufficient data
APE-EUR,No clear directional entry/exit
QNT-EUR,No clear directional entry/exit
ETC-EUR,No clear directional entry/exit
ADA-USDC,No clear directional entry/exit
LINK-USDC,No clear directional entry/exit
TIA-EUR,No clear directional entry/exit
CSPR-EUR,No clear directional entry/exit
FUEL-EUR,No clear directional entry/exit
PENDLE-EUR,No clear directional entry/exit
TON-EUR,No clear directional entry/exit
EIGEN-EUR,No clear directional entry/exit
UNI-EUR,No clear directional entry/exit
AAVE-EUR,No clear directional entry/exit
GMT-EUR,No clear directional entry/exit
NPC-EUR,No clear directional entry/exit
SPX-EUR,No clear directional entry/exit
SLP-EUR,No clear directional entry/exit
TOSHI-EUR,Insufficient data
WLD-EUR,No clear directional entry/exit
C98-EUR,No clear directional entry/exit
ALPHA-EUR,No clear directional entry/exit
ETH-EUR,No clear directional entry/exit
ACT-EUR,No clear directional entry/exit
HNT-EUR,No clear directional entry/exit
MOG-EUR,No clear directional entry/exit
MBOX-EUR,No clear directional entry/exit
AIXBT-EUR,No clear directional entry/exit
CATI-EUR,No clear directional entry/exit
OM-EUR,No clear directional entry/exit
DRIFT-EUR,No clear directional entry/exit
DEGEN-EUR,No clear directional entry/exit
MOVE-EUR,No clear directional entry/exit
S-EUR,No clear directional entry/exit
GALA-EUR,No clear directional entry/exit
HYPE-EUR,No clear directional entry/exit
BTC-USDC,No clear directional entry/exit
BONK-EUR,No clear directional entry/exit
SYN-EUR,No clear directional entry/exit
CVX-EUR,No clear directional entry/exit
OP-EUR,No clear directional entry/exit
GIGA-EUR,No clear directional entry/exit
EUROC-EUR,No clear directional entry/exit
